expression,Preorder,Inorder,Postorder,Calculate
(3.15+4.25),+ 3.15 4.25,((3.15)+(4.25)),3.15 4.25 +,7.40
(6.78+1.12),+ 6.78 1.12,((6.78)+(1.12)),6.78 1.12 +,7.90
(0.99+2.34),+ 0.99 2.34,((0.99)+(2.34)),0.99 2.34 +,3.33
(8.50+7.30),+ 8.50 7.30,((8.50)+(7.30)),8.50 7.30 +,15.80
(5.67+3.98),+ 5.67 3.98,((5.67)+(3.98)),5.67 3.98 +,9.65
(10.75-4.32),- 10.75 4.32,((10.75)-(4.32)),10.75 4.32 -,6.43
(6.89-2.56),- 6.89 2.56,((6.89)-(2.56)),6.89 2.56 -,4.33
(3.14-1.09),- 3.14 1.09,((3.14)-(1.09)),3.14 1.09 -,2.05
(9.99-8.88),- 9.99 8.88,((9.99)-(8.88)),9.99 8.88 -,1.11
(12.45-5.67),- 12.45 5.67,((12.45)-(5.67)),12.45 5.67 -,6.78
(1.23*4.56),* 1.23 4.56,((1.23)*(4.56)),1.23 4.56 *,5.61
(3.33*2.22),* 3.33 2.22,((3.33)*(2.22)),3.33 2.22 *,7.39
(7.89*1.11),* 7.89 1.11,((7.89)*(1.11)),7.89 1.11 *,8.76
(2.45*6.78),* 2.45 6.78,((2.45)*(6.78)),2.45 6.78 *,16.61
(5.55*3.44),* 5.55 3.44,((5.55)*(3.44)),5.55 3.44 *,19.09
(8.64/2.16),/ 8.64 2.16,((8.64)/(2.16)),8.64 2.16 /,4.00
(4.44/1.11),/ 4.44 1.11,((4.44)/(1.11)),4.44 1.11 /,4.00
(9.99/3.33),/ 9.99 3.33,((9.99)/(3.33)),9.99 3.33 /,3.00
(12.50/2.50),/ 12.50 2.50,((12.50)/(2.50)),12.50 2.50 /,5.00
(7.77/1.29),/ 7.77 1.29,((7.77)/(1.29)),7.77 1.29 /,6.02
((3.15+4.25)/2.50),/ + 3.15 4.25 2.50,(((3.15)+(4.25))/(2.50)),3.15 4.25 + 2.50 /,2.96
((6.78-1.12)*2.00),* - 6.78 1.12 2.00,(((6.78)-(1.12))*(2.00)),6.78 1.12 - 2.00 *,11.32
((4.44*1.11)/3.33),/ * 4.44 1.11 3.33,(((4.44)*(1.11))/(3.33)),4.44 1.11 * 3.33 /,1.48
((8.50/2.00)+1.50),+ / 8.50 2.00 1.50,(((8.50)/(2.00))+(1.50)),8.50 2.00 / 1.50 +,5.75
((5.67-3.98)*1.25),* - 5.67 3.98 1.25,(((5.67)-(3.98))*(1.25)),5.67 3.98 - 1.25 *,2.11
((10.75+4.32)/3.00),/ + 10.75 4.32 3.00,(((10.75)+(4.32))/(3.00)),10.75 4.32 + 3.00 /,5.02
((7.89-2.56)/1.10),/ - 7.89 2.56 1.10,(((7.89)-(2.56))/(1.10)),7.89 2.56 - 1.10 /,4.85
((3.33*2.22)/4.44),/ * 3.33 2.22 4.44,(((3.33)*(2.22))/(4.44)),3.33 2.22 * 4.44 /,1.66
((9.99/3.33)+2.22),+ / 9.99 3.33 2.22,(((9.99)/(3.33))+(2.22)),9.99 3.33 / 2.22 +,5.22
((12.45-5.67)*1.75),* - 12.45 5.67 1.75,(((12.45)-(5.67))*(1.75)),12.45 5.67 - 1.75 *,11.86
((1.23+4.56)/2.00),/ + 1.23 4.56 2.00,(((1.23)+(4.56))/(2.00)),1.23 4.56 + 2.00 /,2.89
((2.45*6.78)-3.33),- * 2.45 6.78 3.33,(((2.45)*(6.78))-(3.33)),2.45 6.78 * 3.33 -,13.28
((7.77/1.29)+5.55),+ / 7.77 1.29 5.55,(((7.77)/(1.29))+(5.55)),7.77 1.29 / 5.55 +,11.57
((9.99-8.88)/1.11),/ - 9.99 8.88 1.11,(((9.99)-(8.88))/(1.11)),9.99 8.88 - 1.11 /,1.00
((4.44+2.22)*1.50),* + 4.44 2.22 1.50,(((4.44)+(2.22))*(1.50)),4.44 2.22 + 1.50 *,9.99
((8.64/2.16)+3.48),+ / 8.64 2.16 3.48,(((8.64)/(2.16))+(3.48)),8.64 2.16 / 3.48 +,7.48
((12.50-2.50)/5.00),/ - 12.50 2.50 5.00,(((12.50)-(2.50))/(5.00)),12.50 2.50 - 5.00 /,2.00
((5.55*3.44)/2.22),/ * 5.55 3.44 2.22,(((5.55)*(3.44))/(2.22)),5.55 3.44 * 2.22 /,8.60
((6.89+2.56)-3.33),- + 6.89 2.56 3.33,(((6.89)+(2.56))-(3.33)),6.89 2.56 + 3.33 -,6.12
((3.14-1.09)*2.50),* - 3.14 1.09 2.50,(((3.14)-(1.09))*(2.50)),3.14 1.09 - 2.50 *,5.13
(2.50/(3.15+4.25)),/ 2.50 + 3.15 4.25,((2.50)/((3.15)+(4.25))),2.50 3.15 4.25 + /,0.34
(6.00/(6.78-1.12)),/ 6.00 - 6.78 1.12,((6.00)/((6.78)-(1.12))),6.00 6.78 1.12 - /,1.06
(3.33/(4.44*1.11)),/ 3.33 * 4.44 1.11,((3.33)/((4.44)*(1.11))),3.33 4.44 1.11 * /,0.68
(7.00/(8.50/2.00)),/ 7.00 / 8.50 2.00,((7.00)/((8.50)/(2.00))),7.00 8.50 2.00 / /,1.65
(5.25/(5.67-3.98)),/ 5.25 - 5.67 3.98,((5.25)/((5.67)-(3.98))),5.25 5.67 3.98 - /,3.11
(3.00/(10.75+4.32)),/ 3.00 + 10.75 4.32,((3.00)/((10.75)+(4.32))),3.00 10.75 4.32 + /,0.20
(2.20/(7.89-2.56)),/ 2.20 - 7.89 2.56,((2.20)/((7.89)-(2.56))),2.20 7.89 2.56 - /,0.41
(4.44/(3.33*2.22)),/ 4.44 * 3.33 2.22,((4.44)/((3.33)*(2.22))),4.44 3.33 2.22 * /,0.60
(2.22/(9.99/3.33)),/ 2.22 / 9.99 3.33,((2.22)/((9.99)/(3.33))),2.22 9.99 3.33 / /,0.74
(1.75/(12.45-5.67)),/ 1.75 - 12.45 5.67,((1.75)/((12.45)-(5.67))),1.75 12.45 5.67 - /,0.26
(2.00/(1.23+4.56)),/ 2.00 + 1.23 4.56,((2.00)/((1.23)+(4.56))),2.00 1.23 4.56 + /,0.35
(3.33/(2.45*6.78)),/ 3.33 * 2.45 6.78,((3.33)/((2.45)*(6.78))),3.33 2.45 6.78 * /,0.20
(5.55/(7.77/1.29)),/ 5.55 / 7.77 1.29,((5.55)/((7.77)/(1.29))),5.55 7.77 1.29 / /,0.92
(1.11/(9.99-8.88)),/ 1.11 - 9.99 8.88,((1.11)/((9.99)-(8.88))),1.11 9.99 8.88 - /,1.00
(1.50/(4.44+2.22)),/ 1.50 + 4.44 2.22,((1.50)/((4.44)+(2.22))),1.50 4.44 2.22 + /,0.23
(3.48/(8.64/2.16)),/ 3.48 / 8.64 2.16,((3.48)/((8.64)/(2.16))),3.48 8.64 2.16 / /,0.87
(5.00/(12.50-2.50)),/ 5.00 - 12.50 2.50,((5.00)/((12.50)-(2.50))),5.00 12.50 2.50 - /,0.50
(2.22/(5.55*3.44)),/ 2.22 * 5.55 3.44,((2.22)/((5.55)*(3.44))),2.22 5.55 3.44 * /,0.12
(3.33/(6.89+2.56)),/ 3.33 + 6.89 2.56,((3.33)/((6.89)+(2.56))),3.33 6.89 2.56 + /,0.35
(2.50/(3.14-1.09)),/ 2.50 - 3.14 1.09,((2.50)/((3.14)-(1.09))),2.50 3.14 1.09 - /,1.22
((3.15+4.25)+(6.78-1.12)),+ + 3.15 4.25 - 6.78 1.12,(((3.15)+(4.25))+((6.78)-(1.12))),3.15 4.25 + 6.78 1.12 - +,13.06
((0.99+2.34)+(8.50/2.00)),+ + 0.99 2.34 / 8.50 2.00,(((0.99)+(2.34))+((8.50)/(2.00))),0.99 2.34 + 8.50 2.00 / +,7.58
((5.67-3.98)+(7.89*1.11)),+ - 5.67 3.98 * 7.89 1.11,(((5.67)-(3.98))+((7.89)*(1.11))),5.67 3.98 - 7.89 1.11 * +,10.45
((10.75+4.32)+(3.33-2.22)),+ + 10.75 4.32 - 3.33 2.22,(((10.75)+(4.32))+((3.33)-(2.22))),10.75 4.32 + 3.33 2.22 - +,16.18
((6.89-2.56)+(1.23+4.56)),+ - 6.89 2.56 + 1.23 4.56,(((6.89)-(2.56))+((1.23)+(4.56))),6.89 2.56 - 1.23 4.56 + +,10.12
((9.99/3.33)+(12.45-5.67)),+ / 9.99 3.33 - 12.45 5.67,(((9.99)/(3.33))+((12.45)-(5.67))),9.99 3.33 / 12.45 5.67 - +,9.78
((2.45*6.78)+(5.55/3.44)),+ * 2.45 6.78 / 5.55 3.44,(((2.45)*(6.78))+((5.55)/(3.44))),2.45 6.78 * 5.55 3.44 / +,18.22
((4.44/1.11)+(8.64-2.16)),+ / 4.44 1.11 - 8.64 2.16,(((4.44)/(1.11))+((8.64)-(2.16))),4.44 1.11 / 8.64 2.16 - +,10.48
((7.77+5.55)+(3.14-1.09)),+ + 7.77 5.55 - 3.14 1.09,(((7.77)+(5.55))+((3.14)-(1.09))),7.77 5.55 + 3.14 1.09 - +,15.37
((12.50/2.50)+(9.99/3.33)),+ / 12.50 2.50 / 9.99 3.33,(((12.50)/(2.50))+((9.99)/(3.33))),12.50 2.50 / 9.99 3.33 / +,8.00
((3.33*2.22)+(8.50+7.30)),+ * 3.33 2.22 + 8.50 7.30,(((3.33)*(2.22))+((8.50)+(7.30))),3.33 2.22 * 8.50 7.30 + +,23.19
((7.89-6.78)+(10.75/2.50)),+ - 7.89 6.78 / 10.75 2.50,(((7.89)-(6.78))+((10.75)/(2.50))),7.89 6.78 - 10.75 2.50 / +,5.41
((2.00+4.00)+(5.25*1.25)),+ + 2.00 4.00 * 5.25 1.25,(((2.00)+(4.00))+((5.25)*(1.25))),2.00 4.00 + 5.25 1.25 * +,12.56
((6.45-3.22)+(4.44/1.11)),+ - 6.45 3.22 / 4.44 1.11,(((6.45)-(3.22))+((4.44)/(1.11))),6.45 3.22 - 4.44 1.11 / +,7.23
((9.77+5.33)+(2.22*1.50)),+ + 9.77 5.33 * 2.22 1.50,(((9.77)+(5.33))+((2.22)*(1.50))),9.77 5.33 + 2.22 1.50 * +,18.43
((7.44*3.21)+(5.11-2.00)),+ * 7.44 3.21 - 5.11 2.00,(((7.44)*(3.21))+((5.11)-(2.00))),7.44 3.21 * 5.11 2.00 - +,26.99
((8.64/2.00)+(12.50-4.45)),+ / 8.64 2.00 - 12.50 4.45,(((8.64)/(2.00))+((12.50)-(4.45))),8.64 2.00 / 12.50 4.45 - +,12.37
((6.89*1.25)+(9.99+2.22)),+ * 6.89 1.25 + 9.99 2.22,(((6.89)*(1.25))+((9.99)+(2.22))),6.89 1.25 * 9.99 2.22 + +,20.82
((2.50-1.15)+(4.00*3.33)),+ - 2.50 1.15 * 4.00 3.33,(((2.50)-(1.15))+((4.00)*(3.33))),2.50 1.15 - 4.00 3.33 * +,14.67
((7.77/1.11)+(6.45-3.25)),+ / 7.77 1.11 - 6.45 3.25,(((7.77)/(1.11))+((6.45)-(3.25))),7.77 1.11 / 6.45 3.25 - +,10.20
(((3.15+4.25)+(6.78-1.12))+2.50),+ + + 3.15 4.25 - 6.78 1.12 2.50,((((3.15)+(4.25))+((6.78)-(1.12)))+(2.50)),3.15 4.25 + 6.78 1.12 - + 2.50 +,15.56
(((0.99+2.34)+(8.50/2.00))+1.75),+ + + 0.99 2.34 / 8.50 2.00 1.75,((((0.99)+(2.34))+((8.50)/(2.00)))+(1.75)),0.99 2.34 + 8.50 2.00 / + 1.75 +,9.33
(((5.67-3.98)+(7.89*1.11))+4.00),+ + - 5.67 3.98 * 7.89 1.11 4.00,((((5.67)-(3.98))+((7.89)*(1.11)))+(4.00)),5.67 3.98 - 7.89 1.11 * + 4.00 +,14.45
(((10.75+4.32)+(3.33-2.22))+3.50),+ + + 10.75 4.32 - 3.33 2.22 3.50,((((10.75)+(4.32))+((3.33)-(2.22)))+(3.50)),10.75 4.32 + 3.33 2.22 - + 3.50 +,19.68
(((6.89-2.56)+(1.23+4.56))+2.25),+ + - 6.89 2.56 + 1.23 4.56 2.25,((((6.89)-(2.56))+((1.23)+(4.56)))+(2.25)),6.89 2.56 - 1.23 4.56 + + 2.25 +,12.37
(((9.99/3.33)+(12.45-5.67))+1.50),+ + / 9.99 3.33 - 12.45 5.67 1.50,((((9.99)/(3.33))+((12.45)-(5.67)))+(1.50)),9.99 3.33 / 12.45 5.67 - + 1.50 +,11.28
(((2.45*6.78)+(5.55/3.44))+4.75),+ + * 2.45 6.78 / 5.55 3.44 4.75,((((2.45)*(6.78))+((5.55)/(3.44)))+(4.75)),2.45 6.78 * 5.55 3.44 / + 4.75 +,22.97
(((4.44/1.11)+(8.64-2.16))+3.33),+ + / 4.44 1.11 - 8.64 2.16 3.33,((((4.44)/(1.11))+((8.64)-(2.16)))+(3.33)),4.44 1.11 / 8.64 2.16 - + 3.33 +,13.81
(((7.77+5.55)+(3.14-1.09))+2.00),+ + + 7.77 5.55 - 3.14 1.09 2.00,((((7.77)+(5.55))+((3.14)-(1.09)))+(2.00)),7.77 5.55 + 3.14 1.09 - + 2.00 +,17.37
(((12.50/2.50)+(9.99/3.33))+3.25),+ + / 12.50 2.50 / 9.99 3.33 3.25,((((12.50)/(2.50))+((9.99)/(3.33)))+(3.25)),12.50 2.50 / 9.99 3.33 / + 3.25 +,11.25
(((3.33*2.22)+(8.50+7.30))+1.75),+ + * 3.33 2.22 + 8.50 7.30 1.75,((((3.33)*(2.22))+((8.50)+(7.30)))+(1.75)),3.33 2.22 * 8.50 7.30 + + 1.75 +,24.94
(((7.89-6.78)+(10.75/2.50))+4.25),+ + - 7.89 6.78 / 10.75 2.50 4.25,((((7.89)-(6.78))+((10.75)/(2.50)))+(4.25)),7.89 6.78 - 10.75 2.50 / + 4.25 +,9.66
(((2.00+4.00)+(5.25*1.25))+3.00),+ + + 2.00 4.00 * 5.25 1.25 3.00,((((2.00)+(4.00))+((5.25)*(1.25)))+(3.00)),2.00 4.00 + 5.25 1.25 * + 3.00 +,15.56
(((6.45-3.22)+(4.44/1.11))+2.50),+ + - 6.45 3.22 / 4.44 1.11 2.50,((((6.45)-(3.22))+((4.44)/(1.11)))+(2.50)),6.45 3.22 - 4.44 1.11 / + 2.50 +,9.73
(((9.77+5.33)+(2.22*1.50))+1.25),+ + + 9.77 5.33 * 2.22 1.50 1.25,((((9.77)+(5.33))+((2.22)*(1.50)))+(1.25)),9.77 5.33 + 2.22 1.50 * + 1.25 +,19.68
(((7.44*3.21)+(5.11-2.00))+4.00),+ + * 7.44 3.21 - 5.11 2.00 4.00,((((7.44)*(3.21))+((5.11)-(2.00)))+(4.00)),7.44 3.21 * 5.11 2.00 - + 4.00 +,30.99
(((8.64/2.00)+(12.50-4.45))+3.10),+ + / 8.64 2.00 - 12.50 4.45 3.10,((((8.64)/(2.00))+((12.50)-(4.45)))+(3.10)),8.64 2.00 / 12.50 4.45 - + 3.10 +,15.47
(((6.89*1.25)+(9.99+2.22))+2.75),+ + * 6.89 1.25 + 9.99 2.22 2.75,((((6.89)*(1.25))+((9.99)+(2.22)))+(2.75)),6.89 1.25 * 9.99 2.22 + + 2.75 +,23.57
(((2.50-1.15)+(4.00*3.33))+1.80),+ + - 2.50 1.15 * 4.00 3.33 1.80,((((2.50)-(1.15))+((4.00)*(3.33)))+(1.80)),2.50 1.15 - 4.00 3.33 * + 1.80 +,16.47
(((7.77/1.11)+(6.45-3.25))+2.60),+ + / 7.77 1.11 - 6.45 3.25 2.60,((((7.77)/(1.11))+((6.45)-(3.25)))+(2.60)),7.77 1.11 / 6.45 3.25 - + 2.60 +,12.80
(3.15+((7.50-(2.25+4.10))+5.00)),+ 3.15 + - 7.50 + 2.25 4.10 5.00,((3.15)+(((7.50)-((2.25)+(4.10)))+(5.00))),3.15 7.50 2.25 4.10 + - 5.00 + +,9.30
(6.78+((8.90-(3.45+2.11))+4.25)),+ 6.78 + - 8.90 + 3.45 2.11 4.25,((6.78)+(((8.90)-((3.45)+(2.11)))+(4.25))),6.78 8.90 3.45 2.11 + - 4.25 + +,14.37
(2.22+((5.55-(1.50+2.22))+3.33)),+ 2.22 + - 5.55 + 1.50 2.22 3.33,((2.22)+(((5.55)-((1.50)+(2.22)))+(3.33))),2.22 5.55 1.50 2.22 + - 3.33 + +,7.38
(7.89+((10.50-(4.20+3.30))+6.10)),+ 7.89 + - 10.50 + 4.20 3.30 6.10,((7.89)+(((10.50)-((4.20)+(3.30)))+(6.10))),7.89 10.50 4.20 3.30 + - 6.10 + +,16.99
(4.56+((9.00-(2.50+1.50))+2.75)),+ 4.56 + - 9.00 + 2.50 1.50 2.75,((4.56)+(((9.00)-((2.50)+(1.50)))+(2.75))),4.56 9.00 2.50 1.50 + - 2.75 + +,12.31
(8.50+((12.45-(5.55+4.35))+7.00)),+ 8.50 + - 12.45 + 5.55 4.35 7.00,((8.50)+(((12.45)-((5.55)+(4.35)))+(7.00))),8.50 12.45 5.55 4.35 + - 7.00 + +,18.05
(5.67+((6.90-(3.00+1.45))+2.50)),+ 5.67 + - 6.90 + 3.00 1.45 2.50,((5.67)+(((6.90)-((3.00)+(1.45)))+(2.50))),5.67 6.90 3.00 1.45 + - 2.50 + +,10.62
(9.99+((11.25-(4.75+3.50))+5.55)),+ 9.99 + - 11.25 + 4.75 3.50 5.55,((9.99)+(((11.25)-((4.75)+(3.50)))+(5.55))),9.99 11.25 4.75 3.50 + - 5.55 + +,18.54
(1.23+((4.44-(2.22+1.11))+2.00)),+ 1.23 + - 4.44 + 2.22 1.11 2.00,((1.23)+(((4.44)-((2.22)+(1.11)))+(2.00))),1.23 4.44 2.22 1.11 + - 2.00 + +,4.34
(10.75+((8.30-(3.15+2.85))+4.00)),+ 10.75 + - 8.30 + 3.15 2.85 4.00,((10.75)+(((8.30)-((3.15)+(2.85)))+(4.00))),10.75 8.30 3.15 2.85 + - 4.00 + +,17.05
(6.89+((7.77-(3.14+2.43))+3.25)),+ 6.89 + - 7.77 + 3.14 2.43 3.25,((6.89)+(((7.77)-((3.14)+(2.43)))+(3.25))),6.89 7.77 3.14 2.43 + - 3.25 + +,12.34
(12.50+((15.25-(5.00+4.50))+8.25)),+ 12.50 + - 15.25 + 5.00 4.50 8.25,((12.50)+(((15.25)-((5.00)+(4.50)))+(8.25))),12.50 15.25 5.00 4.50 + - 8.25 + +,26.50
(2.45+((9.00-(3.00+2.25))+3.50)),+ 2.45 + - 9.00 + 3.00 2.25 3.50,((2.45)+(((9.00)-((3.00)+(2.25)))+(3.50))),2.45 9.00 3.00 2.25 + - 3.50 + +,9.70
(7.77+((11.00-(4.10+3.20))+5.00)),+ 7.77 + - 11.00 + 4.10 3.20 5.00,((7.77)+(((11.00)-((4.10)+(3.20)))+(5.00))),7.77 11.00 4.10 3.20 + - 5.00 + +,16.47
(3.33+((6.50-(2.22+1.28))+2.75)),+ 3.33 + - 6.50 + 2.22 1.28 2.75,((3.33)+(((6.50)-((2.22)+(1.28)))+(2.75))),3.33 6.50 2.22 1.28 + - 2.75 + +,9.08
(8.64+((10.90-(4.50+3.60))+4.50)),+ 8.64 + - 10.90 + 4.50 3.60 4.50,((8.64)+(((10.90)-((4.50)+(3.60)))+(4.50))),8.64 10.90 4.50 3.60 + - 4.50 + +,15.94
(4.44+((7.80-(3.11+2.22))+2.10)),+ 4.44 + - 7.80 + 3.11 2.22 2.10,((4.44)+(((7.80)-((3.11)+(2.22)))+(2.10))),4.44 7.80 3.11 2.22 + - 2.10 + +,9.01
(9.99+((13.50-(5.25+4.00))+6.25)),+ 9.99 + - 13.50 + 5.25 4.00 6.25,((9.99)+(((13.50)-((5.25)+(4.00)))+(6.25))),9.99 13.50 5.25 4.00 + - 6.25 + +,20.49
(2.00+((5.75-(2.00+1.50))+2.25)),+ 2.00 + - 5.75 + 2.00 1.50 2.25,((2.00)+(((5.75)-((2.00)+(1.50)))+(2.25))),2.00 5.75 2.00 1.50 + - 2.25 + +,6.50
(11.11+((14.75-(6.10+4.35))+7.50)),+ 11.11 + - 14.75 + 6.10 4.35 7.50,((11.11)+(((14.75)-((6.10)+(4.35)))+(7.50))),11.11 14.75 6.10 4.35 + - 7.50 + +,22.91
((3.15*((4.25-(1.12+2.50))/6.78))+2.33),+ * 3.15 / - 4.25 + 1.12 2.50 6.78 2.33,(((3.15)*(((4.25)-((1.12)+(2.50)))/(6.78)))+(2.33)),3.15 4.25 1.12 2.50 + - 6.78 / * 2.33 +,2.62
((2.45/((6.78+(3.33-1.12))*5.67))-4.56),- / 2.45 * + 6.78 - 3.33 1.12 5.67 4.56,(((2.45)/(((6.78)+((3.33)-(1.12)))*(5.67)))-(4.56)),2.45 6.78 3.33 1.12 - + 5.67 * / 4.56 -,-4.51
((8.12-((9.87+(4.56-2.33))*3.14))/6.72),/ - 8.12 * + 9.87 - 4.56 2.33 3.14 6.72,(((8.12)-(((9.87)+((4.56)-(2.33)))*(3.14)))/(6.72)),8.12 9.87 4.56 2.33 - + 3.14 * - 6.72 /,-4.45
((5.75+((7.25-(3.45*1.00))/4.10))-3.50),- + 5.75 / - 7.25 * 3.45 1.00 4.10 3.50,(((5.75)+(((7.25)-((3.45)*(1.00)))/(4.10)))-(3.50)),5.75 7.25 3.45 1.00 * - 4.10 / + 3.50 -,3.18
((4.88*((6.22+(1.01-2.78))-5.99))/4.50),/ * 4.88 - + 6.22 - 1.01 2.78 5.99 4.50,(((4.88)*(((6.22)+((1.01)-(2.78)))-(5.99)))/(4.50)),4.88 6.22 1.01 2.78 - + 5.99 - * 4.50 /,-1.67
((6.15-((8.50*(4.23-1.15))/3.75))+2.80),+ - 6.15 / * 8.50 - 4.23 1.15 3.75 2.80,(((6.15)-(((8.50)*((4.23)-(1.15)))/(3.75)))+(2.80)),6.15 8.50 4.23 1.15 - * 3.75 / - 2.80 +,1.97
((9.99/((5.55+(2.50-1.67))*6.43))-3.60),- / 9.99 * + 5.55 - 2.50 1.67 6.43 3.60,(((9.99)/(((5.55)+((2.50)-(1.67)))*(6.43)))-(3.60)),9.99 5.55 2.50 1.67 - + 6.43 * / 3.60 -,-3.36
((2.80+((7.90*(3.14-2.22))/4.56))-5.90),- + 2.80 / * 7.90 - 3.14 2.22 4.56 5.90,(((2.80)+(((7.90)*((3.14)-(2.22)))/(4.56)))-(5.90)),2.80 7.90 3.14 2.22 - * 4.56 / + 5.90 -,-1.51
((10.25-((4.75+(1.50-3.00))*2.22))/6.30),/ - 10.25 * + 4.75 - 1.50 3.00 2.22 6.30,(((10.25)-(((4.75)+((1.50)-(3.00)))*(2.22)))/(6.30)),10.25 4.75 1.50 3.00 - + 2.22 * - 6.30 /,0.48
((7.45*((9.30-(5.45+2.12))/1.50))+4.20),+ * 7.45 / - 9.30 + 5.45 2.12 1.50 4.20,(((7.45)*(((9.30)-((5.45)+(2.12)))/(1.50)))+(4.20)),7.45 9.30 5.45 2.12 + - 1.50 / * 4.20 +,12.79
((3.50+((8.75*(4.55+3.00))/2.33))-5.50),- + 3.50 / * 8.75 + 4.55 3.00 2.33 5.50,(((3.50)+(((8.75)*((4.55)+(3.00)))/(2.33)))-(5.50)),3.50 8.75 4.55 3.00 + * 2.33 / + 5.50 -,26.35
((6.00/((5.90-(2.45+1.23))*4.60))+3.80),+ / 6.00 * - 5.90 + 2.45 1.23 4.60 3.80,(((6.00)/(((5.90)-((2.45)+(1.23)))*(4.60)))+(3.80)),6.00 5.90 2.45 1.23 + - 4.60 * / 3.80 +,4.39
((4.35-((3.45*(1.67-2.78))/5.50))+2.90),+ - 4.35 / * 3.45 - 1.67 2.78 5.50 2.90,(((4.35)-(((3.45)*((1.67)-(2.78)))/(5.50)))+(2.90)),4.35 3.45 1.67 2.78 - * 5.50 / - 2.90 +,7.95
((9.60+((8.55/(6.10+1.85))*3.80))-4.50),- + 9.60 * / 8.55 + 6.10 1.85 3.80 4.50,(((9.60)+(((8.55)/((6.10)+(1.85)))*(3.80)))-(4.50)),9.60 8.55 6.10 1.85 + / 3.80 * + 4.50 -,9.19
((7.75-((5.55+(2.20-2.60))*6.10))/2.40),/ - 7.75 * + 5.55 - 2.20 2.60 6.10 2.40,(((7.75)-(((5.55)+((2.20)-(2.60)))*(6.10)))/(2.40)),7.75 5.55 2.20 2.60 - + 6.10 * - 2.40 /,-9.86
((10.00/((6.50+(4.45-1.50))*3.25))-3.10),- / 10.00 * + 6.50 - 4.45 1.50 3.25 3.10,(((10.00)/(((6.50)+((4.45)-(1.50)))*(3.25)))-(3.10)),10.00 6.50 4.45 1.50 - + 3.25 * / 3.10 -,-2.77
((2.30*((7.80-(5.10+2.00))/4.90))+5.25),+ * 2.30 / - 7.80 + 5.10 2.00 4.90 5.25,(((2.30)*(((7.80)-((5.10)+(2.00)))/(4.90)))+(5.25)),2.30 7.80 5.10 2.00 + - 4.90 / * 5.25 +,5.58
((6.75+((8.25-(3.55+2.00))*5.00))/6.15),/ + 6.75 * - 8.25 + 3.55 2.00 5.00 6.15,(((6.75)+(((8.25)-((3.55)+(2.00)))*(5.00)))/(6.15)),6.75 8.25 3.55 2.00 + - 5.00 * + 6.15 /,3.29
((5.40-((7.00*(3.60-1.75))/2.90))+4.10),+ - 5.40 / * 7.00 - 3.60 1.75 2.90 4.10,(((5.40)-(((7.00)*((3.60)-(1.75)))/(2.90)))+(4.10)),5.40 7.00 3.60 1.75 - * 2.90 / - 4.10 +,5.03
